x,y,z
-0.16552063927853422,0.07338877009303904,0.4280502997873414
-0.16540136240466863,0.07349985941172854,0.42833165268544243
-0.16526093679363468,0.07388429365878588,0.428173191882162
-0.16541691783715465,0.07348537175506223,0.42829496019116986
-0.1653923208791292,0.07350828029734988,0.42835298003358074
-0.1653885684233326,0.07351177517229371,0.4283618314083623
-0.16539754313957006,0.07350341650996514,0.42834066165146634
-0.16540682963255027,0.0734947674722703,0.42831875646877254
-0.1654104484697428,0.07349139704391203,0.4283102202764758
-0.1654062060790648,0.0734953482230028,0.4283202273203683
-0.1654199131208617,0.07348258207743646,0.4282878948504689
-0.16541753025575648,0.07348480137487853,0.4282935156047812
-0.16538507206986044,0.07351503152461525,0.42837007868338134
-0.16534966313979205,0.0735480098697826,0.4284536020418542
-0.1653484605723558,0.07354912988905243,0.4284564386842174
-0.16540156710285414,0.07349996860779873,0.42833174300630467
-0.16536365269305292,0.07353528016664904,0.4284211760439642
-0.16532424620368824,0.07357198137274923,0.4285141286196697
-0.17308698182051427,0.04517204396995406,0.41412300632741095
-0.172277034201338,0.044326569758979695,0.413036077262744
-0.1591188635218915,0.03809643556798503,0.3772399418045991
-0.17387508987046096,0.0217064211783001,0.3343758713487045
-0.21876450648496287,-0.027039011184962325,0.2095439636950256
-0.21893704974318184,-0.027226376016779574,0.20906413945149782
-0.21944771039084526,-0.02686122734902524,0.20948134089532477
-0.24070629883829658,-0.05086561719951524,0.14852619907033926
-0.24053555605688529,-0.05068083722633429,0.14900071611064236
-0.22181524404620132,-0.030353249331697724,0.2010603568251268
-0.22168651849041346,-0.030213465272731804,0.20141832703108853
-0.22139293730656398,-0.02989467529659262,0.20223413134913637
-0.22805626209504104,-0.03616969858958974,0.18562277754652046
-0.2239641207531071,-0.03174491924098424,0.19696483751289184
-0.22386392856927628,-0.031636582732329666,0.19724253705017936
-0.2237959020397233,-0.03156302652838361,0.19743108405113163
-0.07221053956462939,0.09549252670141559,0.27877914911656554
-0.07042591327163691,0.11876462315090977,0.3892620846535614
-0.10005432549746693,0.11813322095842586,0.39541524574137843
-0.12347906553599661,0.11575034001383515,0.40041319759156446
-0.1290678599960285,0.11519852438255641,0.39941438441521837
-0.17580651903412692,0.09898504914501349,0.41110701898193797
-0.18476299094754015,0.09186005969117973,0.41147602409669704
-0.21817113640450356,0.04822768497392296,0.44043859760862325
-0.2308010271631245,0.033188396668754366,0.4406181569290599
-0.23691667045544676,0.021029326285037925,0.4270906532060719
-0.27580968580162646,-0.03095601758791708,0.38584429250736363
-0.211910355612442,0.005737298366898846,0.38286508847177614
-0.186144627665294,0.01650416246048131,0.3745513406843484
-0.16481879587523385,0.025457914385872416,0.37155878571116174
-0.16354322776208863,0.026153972617254523,0.3705997572297502
-0.16242849386029745,0.026451096535623275,0.3698671629353573
-0.15022253316492698,0.02984802692333058,0.3607596472049536
-0.1946802362221857,-0.011802839562552542,0.2574685983823417
-0.1944133075928558,-0.011552762003784578,0.2580884336507041
